ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
ANARCHY|무정부상태| |2015-03-19 오전 4:21:09
ANATHEMA|저주|solemn curse|2015-03-19 오전 4:22:48
ANCILLARY|보조의 부수적인 부의|auxiliary|2015-03-19 오전 4:23:25
ANDIRONS|난로의 철제 장작 받침쇠|firedog|2015-03-19 오전 4:24:13
ANEMIA|적혈구 부족상태 빈혈증| |2015-03-19 오전 4:25:46
ANIMADVERSION|비난|critical remark|2015-03-19 오전 4:25:56
ANIMATED|힘찬|animated discussion 활발한 토론 lively|2015-03-19 오전 4:26:36
ANIMOSITY|악의 원한 증오 적의|active enmity|2015-03-19 오전 4:27:19
ANNALS|연대기 사료 연보|records history|2015-03-19 오전 4:28:06
ANNIHILATE|절멸 시키다|destroy|2015-03-19 오전 4:28:39
ANNUITY|연금 연간 배당금|yearly allowance|2015-03-19 오전 4:29:44
ANNUL|무효로 하다 취소하다 폐지하다 지워버리다|make void|2015-03-19 오전 4:34:41
ANOMALOUS|변칙의 파격의 이례의 이상한|abnormal irregular|2015-03-19 오전 4:37:38
ANOMALY|변칙 이상 이례|irregularity|2015-03-19 오전 4:38:50
ANONYMOUS|익명의|having no name|2015-03-19 오전 4:42:30
ANTAGONISM|적대 대립관계|active resistance|2015-03-19 오전 4:43:01
ANTEDILUVIAN|고대의|antiquated|2015-03-19 오전 4:43:10
ANTHROPOID|유인원의|manlike|2015-03-19 오전 4:48:44
ANTHROPOLOGIST|인류학자| |2015-03-19 오전 4:48:51
ANTICLIMAX|사상 감정이 줄어듦| |2015-03-19 오전 4:49:04
ANTIPATHY|혐오|aversion, dislike|2015-03-19 오전 4:49:40
ANTISEPTIC|방부제| |2015-03-19 오전 4:49:55
ANTITHESIS|정반대 대조|contrast|2015-03-19 오전 4:50:33
APATHETIC|무관심한|indifferent|2015-03-19 오전 4:50:50
APERTURE|구멍 틈|hole,opening|2015-03-19 오전 4:51:28
APEX|정점|tip summit climax|2015-03-19 오전 4:51:38
APHORISM|금언 격언 경구|pithy maxim|2015-03-19 오전 4:52:47
PITHY|골이있는 힘찬 함축성있는 간결한| |2015-03-19 오전 4:53:35
APLOMB|침착|poise|2015-03-19 오전 4:54:06
POISE|균형잡히게 하다 평형되게하다 유지하다 각오를하다| |2015-03-19 오전 4:54:22
APOCRYPHAL|정품이아닌|non genuine,sham|2015-03-19 오전 4:55:08
APOGEE|최고점 정점|highest point|2015-03-19 오전 4:55:41
APOSTATE|정치 종교의 변절자| |2015-03-19 오전 4:56:17
PERIGEE|근지점|달 행성이 지구에 가장 가까워지는 지점 cf)apogee |2015-03-19 오전 4:57:47
APOTHECARY|약제사|druggist|2015-03-19 오후 1:13:59
APOTHEGM|격언 경구|pithy compact saying|2015-03-19 오후 1:15:28
APOTHEOSIS|신화|deification|2015-03-19 오후 1:16:03
APPARITION|유령|ghost phantom|2015-03-19 오후 1:16:29
APPEASE|달래다|pacify,soothe|2015-03-19 오후 1:16:53
APPELLATION|명칭 호칭|name title|2015-03-19 오후 1:17:23
APPEND|붙이다|attach|2015-03-19 오후 1:17:39
APPOSITE|적절한|appropriate|2015-03-19 오후 1:18:04
APPREHEND|이해하다 염려하다 우려하다|arrest,perceive|2015-03-19 오후 1:19:24
APPREHENSIVE|염려하는|fearful|2015-03-19 오후 1:19:46
APPRISE|알리다 통고하다|inform|2015-03-19 오후 1:20:06
APPURTENANCE|부속물| |2015-03-19 오후 1:20:29
APTITUDE|경향 성질 적성|fitness,talent|2015-03-19 오후 1:21:24
APPRAISE|평가하다|estimate the value of|2015-03-19 오후 1:23:38
AQUILINE|굽은|curved hooked; aquiline nose 매부리코|2015-03-19 오후 1:26:01
ARABLE|경작할수있는|fit for plowing|2015-03-19 오후 1:26:59
ARBITER|중재인 조정자 심판자 결정적인 요소|judge|2015-03-19 오후 1:27:37
ARBITRARY|임의의 멋대로의 방자한 독단적인|fixed despotic|2015-03-19 오후 1:28:36
ARCADE|지붕이 있는 상점가| |2015-03-19 오후 1:30:12
ARCHAEOLOGY|고고학| |2015-03-19 오후 1:32:55
ARCHAIC|오래된|antiquated|2015-03-19 오후 1:33:18
ARCHIPELAGO|군도|group of islands|2015-03-19 오후 1:34:34
ARDOR|열정|heat passion zeal|2015-03-19 오후 1:34:47
ARDUOUS|힘든 끈질긴|hard strenuous|2015-03-19 오후 1:36:15
ARGOT|암호말 은어|slang|2015-03-19 오후 1:36:50
AROMATIC|향기로운|fragrant|2015-03-19 오후 1:37:16
ARRAIGN|피고를 법정에 소환하여 죄상의 진위여부를 묻다, 규탄하다|charge in court|2015-03-19 오후 1:38:10
ARRANT|악명높은 딱지붙은 철저한|thorough, unmitigated|2015-03-19 오후 1:40:48
ARROGANCE|오만 건방진|haughtiness|2015-03-19 오후 1:41:32
ARTIFACTS|원시문화의 산물들| |2015-03-19 오후 1:41:53
ARTIFICE|책략 술책|deception,trickery|2015-03-19 오후 1:42:20
ARTISAN|손재주가 있는 노동자| |2015-03-19 오후 1:42:38
ASCERTAIN|확인하다 규명하다|find out for certain|2015-03-19 오후 1:43:09
ASCETIC|금욕주의의|austere|2015-03-19 오후 1:43:48
ASCETICISM|금욕주의| |2015-03-19 오후 1:45:17
ASCRIBE|기인하다 탓으로 돌리다|refer attribute|2015-03-19 오후 1:45:52
ASHEN|잿빛의|grey ash-colored|2015-03-19 오후 1:47:16
ASININE|멍청한 |stupid|2015-03-19 오후 1:47:40
ASKANCE|곁눈질로 보는| |2015-03-19 오후 1:48:27
ASKEW|굽은|crookedly, slanted|2015-03-19 오후 1:48:58
ASPERITY|퉁명스러운 귀거슬린|sharpness of temper|2015-03-19 오후 1:50:48
ASPERSION|비방 중상|slanderous remark|2015-03-19 오후 1:51:26
ASPIRANT|지위를 추구하는 자| |2015-03-19 오후 1:51:50
ASPIRATION|열망 포부|noble ambition|2015-03-19 오후 1:52:36
ASSAIL|습격하다 공격하다|assault|2015-03-19 오후 1:53:58
ASSAY|평가하다 분석하다|analyze,evaluation|2015-03-19 오후 1:55:12
ASSEVERATE|적극적인 발언을 하다| |2015-03-19 오후 1:55:47
ASSIDUOUS|근면한 주도면밀한|done with diligence|2015-03-19 오후 1:57:05
ASSUAGE|누그러 뜨리다 완화시키다|ease,lesson|2015-03-19 오후 1:58:04
ASTEROID|소행성|small planet|2015-03-19 오후 1:58:59
ASTRAL|별에 관련한|relating to the star|2015-03-19 오후 1:59:17
ASTRINGENT|수렴성의 엄격한 떫은|binding|2015-03-19 오후 2:00:28
ASTUTE|기민한 빈틈없는 교활한|wise shrewd|2015-03-19 오후 2:01:04
ATHEISTIC|신의 존재를 부인하는| |2015-03-19 오후 2:07:32
ATHWART|가로질러서 거슬러서|across|2015-03-19 오후 2:08:29
ATROCITY|악행 |brutal deed|2015-03-19 오후 2:08:55
ATROPHY|소모증 위축 영양결핍|cf)hypertrophy|2015-03-19 오후 2:13:09
HYPERBOLE|과장 과대| |2015-03-19 오후 2:13:50
HYPE|피하주사침 마약중독자 과대광고 속이다 마약으로 흥분시키다 자극하다 부추기다 활기돋구다 강매하다| |2015-03-19 오후 2:14:21
ATTENUATE|감축시키다|make thin,weaken|2015-03-19 오후 2:15:40
ATTEST|증명하다 입증하다 증언하다|testify|2015-03-19 오후 2:16:02
ATTRIBUTE|돌리다 탓으로 하다|essential quality|2015-03-19 오후 2:17:12
ATTRITION|마찰 소모|gradual wearing down|2015-03-19 오후 2:18:32
CONTRITION|통회 회개 깊은 회한| |2015-03-19 오후 2:18:51
ATYPICAL|틀에 박히지 않은|not normal|2015-03-19 오후 2:19:32
AUDACITY|대담무쌍|boldness|2015-03-19 오후 2:20:17
AUDIT|회계감사| |2015-03-19 오후 2:20:36
AUGMENT|증가하다|increase|2015-03-19 오후 2:20:50
AUGURY|전조 점복 점치는 의식|omen,prosphecy|2015-03-19 오후 2:21:34
AUSPICIOUS|상서로운 행운의|favoring success|2015-03-19 오후 2:25:45
AUSTERE|엄격한 준엄한 꾸미지 않은|strict stern|2015-03-19 오후 2:26:51
AUSTERITY|엄격 준엄 감소|sternness severity|2015-03-19 오후 2:27:49
AUTHENTICATE|법적으로 인증하다|prove genuine|2015-03-19 오후 2:30:15
AUTOCRAT|전제군주| |2015-03-19 오후 2:30:20
AUTOMATON|자동로봇|auto-robot|2015-03-19 오후 2:30:55
AUTONOMOUS|자치권이 있는|self governing|2015-03-19 오후 2:31:36
AUTOPSY|검시|exam of a dead body|2015-03-19 오후 2:31:56
AUXILIARY|보조의|subsidiary ancillary|2015-03-19 오후 2:34:52
AVARICE|부에대한 욕심| |2015-03-19 오후 2:36:09
AVER|확언하다 단언하다|state confidently|2015-03-19 오후 2:36:46
AVERSE|싫어하여 반대하고|reluctant|2015-03-19 오후 2:37:11
AVID|욕심의|greedy,eager for|2015-03-19 오후 2:38:08
AVOUCH|단언하다|affirm proclaim|2015-03-19 오후 2:38:49
PROCLAIM|포고하다 공포하다 선언하다| |2015-03-19 오후 2:39:26
AVOW|공언하다 인정하다 자백하다|declare openly|2015-03-19 오후 2:42:01
AVUNCULAR|삼촌같은|like an uncle|2015-03-19 오후 2:42:20
AWE|경이|solemn wonder|2015-03-19 오후 2:42:32
AWRY|굽어서 휘어서 잘못되어 틀리어|distorted crooked|2015-03-19 오후 2:43:10
AXIOM|자명한 이치 공리|self-evident truth|2015-03-19 오후 2:43:46
AZURE|푸른 하늘의 담청색의|sky blue|2015-03-19 오후 2:44:13
BABBLE|재잘 거리다 떠듬이다|chatter idly|2015-03-19 오후 2:45:12
BACCHANALIAN|술취한|drunken|2015-03-19 오후 2:46:23
BADGER|오소리, 괴롭히다|pester annoy|2015-03-19 오후 2:47:00
BAFFLE|좌절시키다 실패로 끝나다|frustrate perplex|2015-03-19 오후 2:48:59
PERPLEX|당혹하게 하다 혼란에 빠뜨리다| |2015-03-19 오후 2:49:21
BALEFUL|재앙의 해로운 비참한|deadly destructive|2015-03-19 오후 2:50:05
BALK|꺾다|foil|2015-03-19 오후 2:50:25
BALMY|향기로운 부드러운 은은한|mild fragrant|2015-03-19 오후 2:50:52
BANAL|진부한|hackneyed trite commonplace|2015-03-19 오후 2:51:18
BANDANNA|큰 두건|large handkerchief|2015-03-19 오후 2:51:53
BANEFUL|해로운 파괴적인|ruinous|2015-03-19 오후 2:53:11
BANTERING|좋은 의미로 조롱하는| |2015-03-19 오후 2:54:13
BARB|미늘 가시돋친 말 예리한 비판| |2015-03-19 오후 2:54:55
BAROQUE|기이한 기괴한 문체가 지나치게 수식적인|highly ornate|2015-03-19 오후 2:56:12
BARRAGE|일제사격 탄막| |2015-03-19 오후 3:02:44
BARRISTER|법정변호사|counselor at law|2015-03-19 오후 3:03:31
BARTERER|물물교환자|trader|2015-03-19 오후 3:04:34
BATE|누그러뜨리다 참다|let down, restrain|2015-03-19 오후 3:05:04
BATTEN|배불리 먹다|grow fat|2015-03-19 오후 3:05:40
BAUBLE|싸구려 시시한것|trinket, trifle|2015-03-19 오후 3:06:33
BEATIFIC|축복이 넘치는 행복에 넘친 기쁜|giving bliss|2015-03-19 오후 3:07:47
BLISS|더없는 행복| |2015-03-19 오후 3:08:18
BEDIZEN|야하게 옷입다| |2015-03-19 오후 3:08:58
BEDRAGGLE|옷자락 따위를 질질끌어 적시다|wet thoroughly|2015-03-19 오후 3:09:27
BEGUILE|현혹시키다 미혹시키다 빼앗다|delude, cheat, amuse|2015-03-19 오후 3:10:52
BEHOOVE|할필요가 있다 걸맞다|be suited to|2015-03-19 오후 3:18:12
BELABOR|장황하게 검토하다 호되게 꾸짖다|beat soundly|2015-03-19 오후 3:19:35
BELATED|지연된|delayed|2015-03-19 오후 3:19:44
BELEAGUER|포위하다|besiege|2015-03-19 오후 3:20:30
BELLICOSE|호전적인|warlike|2015-03-19 오후 3:20:51
BENEDICTION|축복|blessing|2015-03-19 오후 3:21:00
BENEFACTOR|자선을 베푸는 사람|gift giver, patron|2015-03-19 오후 3:21:41
BENEFICIARY|혜택의 수혜자| |2015-03-19 오후 3:22:01
BENEVOLENT|관대한|generous, charitable|2015-03-19 오후 3:25:32
BENIGHTED|밤이된 길이 저문 미개한|overcome by darkness|2015-03-19 오후 3:26:30
BENIGN|자애로운|cf)malignant|2015-03-19 오후 3:27:07
BERATE|꾸짖다|scold strongly|2015-03-19 오후 3:28:34
BEREFT|모자란|deprived of,lacking|2015-03-19 오후 3:29:09
BERSERK|광포한|frenzied, angered|2015-03-19 오후 3:29:45
BESMIRCH|더럽히다 변색시키다 명예를 더럽히다|soil defile|2015-03-19 오후 3:30:48
BESTOW|주다|confer|2015-03-19 오후 3:31:17
BETE NOIRE|몹시 싫어하는것|aversion|2015-03-19 오후 3:35:23
BETROTH|약혼하다| |2015-03-19 오후 3:35:57
BICAMERAL|상하 양원제의 이원제의|two-chambered|2015-03-19 오후 3:37:16
BIENNIAL|이년마다|every two years|2015-03-19 오후 3:37:56
BIGOTRY|완미한 신앙,편협|stubborn intolerance|2015-03-19 오후 3:39:21
BILLIOUS|소화안되는|irritable|2015-03-19 오후 3:40:28
BIVOUAC|비박|temporary encampment|2015-03-19 오후 3:40:54
BIZARRE|환상적인|fantastic|2015-03-19 오후 3:41:17
BLANDISHMENT|추김 감언 유혹|flattery|2015-03-19 오후 3:42:03
BLASPHEMOUS|불경한 모독적인|profane impious|2015-03-19 오후 3:49:43
PROFANE|모독하다 더럽히다 남용하다|misapply|2015-03-19 오후 3:50:21
BLATANT|소란스러운 몹시 주제넘게 구는|loudly offensive|2015-03-19 오후 3:52:31
BLAZON|문장으로 장식하다| |2015-03-19 오후 3:53:45
BLEAK|황폐한 쓸쓸한 암담한|cold,cheerless|2015-03-19 오후 3:54:47
BLIGHTED|병을 앓는|destroyed|2015-03-19 오후 3:55:41
BLITHE|기쁜|gay joyous|2015-03-19 오후 3:56:03
BLOATED|부풀러진|swollen with air|2015-03-19 오후 3:56:36
BLUDGEON|곤봉|club|2015-03-19 오후 3:57:12
BODE|전조가 되다 징조이다|foreshadow portend|2015-03-19 오후 3:58:14
BOGUS|위조 가짜의|counterfeit|2015-03-19 오후 3:58:54
BOISTEROUS|폭력적인 시끄러운|violent|2015-03-19 오후 3:59:14
BOLSTER|강화하다|support,prop up|2015-03-19 오후 4:02:09
BOMBASTIC|허풍떠는|pompous|2015-03-19 오후 4:02:30
BOOTLESS|쓸모없는|useless|2015-03-19 오후 4:03:16
BOUILLON|부용 맑은 고기수프 세균배양용 고기국물|clear beef soup|2015-03-19 오후 4:04:34
BOUNTIFUL|자비심있는|generous|2015-03-19 오후 4:05:53
BOURGEOIS|부루주아|middle-class person|2015-03-19 오후 4:06:19
BRAGGADOCIO|자만|boasting|2015-03-19 오후 4:07:07
BRAVADO|으스대기|swagger|2015-03-19 오후 4:08:20
BRAZEN|놋쇠로 만든 단단한 시끄러운|insolent|2015-03-19 오후 4:09:41
INSOLENT|거드럭거리는|impudent arrogant|2015-03-19 오후 4:09:59
BRAZIER|화로|open pan|2015-03-19 오후 4:10:16
BREACH|깨트림 파괴 불이행|breaking of duty|2015-03-19 오후 4:10:50
BREVITY|간결함|conciseness|2015-03-19 오후 4:11:17
BRISTLING|억센털처럼 일어나다|rising like bristles|2015-03-19 오후 4:12:38
BROACH|말을 꺼내다|open up|2015-03-19 오후 4:14:16
BROCADE|문직 수단 무늬를 넣어 짜다|rich textured fabric|2015-03-19 오후 4:15:49
BROCHURE|브로셔|pamphlet|2015-03-19 오후 4:16:20
BROOCH|브로치|ornamental clasp|2015-03-19 오후 4:17:25
BRUSQUE|퉁명스런|blunt abrupt|2015-03-19 오후 4:18:48
BUCOLIC|목가적인|rustic pastoral|2015-03-19 오후 4:42:56
BUFFOONERY|익살 해학|clowning|2015-03-19 오후 4:54:05
BULLION|금은바|gold and silver bar|2015-03-19 오후 5:05:34
BULWARK|변호사|earthwork|2015-03-19 오후 5:06:14
BUMPTIOUS|거만한|self assertive|2015-03-19 오후 5:07:37
BUNGLE|서투른방식으로 하다 실패하다|spoil by clumsy act|2015-03-19 오후 5:08:36
BURGEON|싹이돋다|send out buds|2015-03-19 오후 5:09:00
BURNISH|꾸미다|polish|2015-03-19 오후 5:12:42
BUTTRESS|지지부벽|support or prop|2015-03-19 오후 5:13:59
BUXOM|여자가쭉쭉빵빵한|plump vigorous jolly|2015-03-19 오후 5:14:53
CABAL|음모단| |2015-03-19 오후 5:15:06
CACHE|은신처|hiding place|2015-03-19 오후 5:15:16
HUSH|침묵시키다 조용히하다| |2015-03-19 오후 5:15:51
HEED|주의하다 마음에 두다| |2015-03-19 오후 5:16:19
CACOPHONY|불협화음|discordant sound|2015-03-19 오후 5:16:56
CADAVEROUS|시체처럼 창백한|like a corpse pale|2015-03-19 오후 5:18:07
CADAVER|시체|corpse|2015-03-19 오후 5:18:43
CAJOLE|부추기다 감언으로 속이다|coax wheedle flatter|2015-03-19 오후 5:19:45
CALIBER|능력|abillity capacity|2015-03-19 오후 5:21:48
CALLOUS|무감각한|hardened unfeeling|2015-03-19 오후 5:22:32
CALORIFIC|열을 내는 발열의| |2015-03-19 오후 5:23:09
CALUMNIATE|비방하다 중상하다|slander|2015-03-19 오후 5:23:52
CALUMNY|중상 비방|slander|2015-03-19 오후 5:24:13
CAMEO|돋을새김보석|carved shell jewel|2015-03-19 오후 5:25:21
CANARD|허위보도 와전|unfounded rumor|2015-03-19 오후 5:28:29
CANKER|궤양에 걸리게 하다|any ulcerous sore|2015-03-19 오후 5:29:48
CANNY|주의 깊은 숙련된 검약한|shrewd, thrifty|2015-03-19 오후 5:31:35
CANT|도둑의 은어|jargon of thieves|2015-03-19 오후 5:32:19
CANTATA|합창단이 부르는 성악곡| |2015-03-19 오후 5:32:52
CANTER|구보|slow gallop|2015-03-19 오후 5:33:12
CANTO|장편시의 편문단|division of a poem|2015-03-19 오후 5:33:53
CANVASS|유세하다|determine votes|2015-03-19 오후 5:34:50
CAPACIOUS|공간이 많은|spacious|2015-03-19 오후 5:35:05
CAPARISON|마구 마구를달다| |2015-03-19 오후 5:35:37
CAPITULATE|항복하다|surrender|2015-03-19 오후 5:36:10
CAPRICE|변덕|whim|2015-03-19 오후 5:36:23
CAPTION|제목|title|2015-03-19 오후 5:37:45
CAPRICIOUS|변덕스런|fickle incalulable|2015-03-19 오후 5:39:09
CAPTIOUS|공연히 헐뜯는 흠잡기 좋아하는 궤변적인|fault finding|2015-03-19 오후 5:39:58
CARAT|캐럿|unit of jewel weight|2015-03-19 오후 5:40:21
CARICURTURE|캐리커쳐|distortion burlesque|2015-03-19 오후 5:41:51
CARMINE|양홍|rich red color|2015-03-19 오후 5:42:27
CARNAGE|학살|slaughter|2015-03-19 오후 5:42:50
CARNAL|육욕의|physical|2015-03-19 오후 5:43:01
CARNIVOROUS|육식의| |2015-03-19 오후 5:43:30
CAROUSAL|술흥청망청|carousel|2015-03-19 오후 5:45:44
CARPING|흠을 잡는|finding fault|2015-03-19 오후 5:46:08
CARRION|썩은 고기|rotting flesh|2015-03-19 오후 5:46:23
CARTE BLANCHE|제한되지않는 자유|unlimited freedom|2015-03-19 오후 6:24:34
CASCADE|작은 폭포|small waterfall|2015-03-19 오후 6:24:52
CASTIGATE|벌주다|punish|2015-03-19 오후 6:25:02
